"Page","Section","Section Description"
"Home","Navbar",""
"","Hero Header Section","Introduction to IITP Companion+ and its benefits for IIT Patna students."
"","Feature Section","Highlight the canteen ordering feature with brief description and image."
"","Feature Section","Highlight the real-time bus and train tracking feature with brief description and image."
"","Features List Section","Overview of feedback system for clubs and services, and alerts for events and assignments."
"","Testimonial Section","Showcase testimonials from IIT Patna students on how the platform has enhanced their campus life."
"","Contact Section","Provide contact details and encourage visitors to get in touch for more information."
"","CTA Section","Encourage visitors to sign up or learn more about the platform."
"","Footer",""
"About Us","Navbar",""
"","Header Section","Introduce the mission and vision of IITP Companion+."
"","About Section","Detail the background and inspiration behind creating IITP Companion+."
"","Benefits Section","Outline the key benefits of using IITP Companion+ for IIT Patna students."
"","Team Section","Introduce the team behind IITP Companion+, including their roles and brief bios."
"","Timeline Section","Show the development timeline and major milestones achieved by IITP Companion+."
"","CTA Section","Encourage visitors to join or support the initiative by signing up or contacting the team."
"","Footer",""